[2025-09-01 16:44:19] GET / -> 200 (90ms)
[2025-09-01 16:44:19] GET /light.css -> 304 (0ms)
[2025-09-01 16:44:19] GET /theme.js -> 304 (0ms)
[2025-09-01 16:44:19] GET /login.js -> 304 (0ms)
[2025-09-01 16:44:19] GET /dark.css -> 200 (0ms)
[2025-09-01 16:44:19] GET /@vite/client -> 404 (0ms)
[2025-09-01 16:44:36] GET / -> 200 (0ms)
[2025-09-01 16:44:37] GET /light.css -> 304 (0ms)
[2025-09-01 16:44:37] GET /theme.js -> 304 (1ms)
[2025-09-01 16:44:37] GET /login.js -> 304 (0ms)
[2025-09-01 16:44:37] GET /dark.css -> 200 (0ms)
[2025-09-01 16:44:37] GET /@vite/client -> 404 (0ms)
[2025-09-01 16:44:54] POST /login -> 200 (1ms)
[2025-09-01 16:44:54] GET /index.html -> 304 (0ms)
[2025-09-01 16:44:54] GET /light.css -> 304 (0ms)
[2025-09-01 16:44:54] GET /theme.js -> 304 (0ms)
[2025-09-01 16:44:54] GET /dark.css -> 200 (0ms)
[2025-09-01 16:44:55] GET /@vite/client -> 404 (0ms)
[2025-09-01 16:44:58] GET /dark.css -> 200 (0ms)
[2025-09-01 16:44:59] GET /light.css -> 200 (0ms)
[2025-09-01 16:45:00] GET /dark.css -> 200 (0ms)
[2025-09-01 16:45:06] GET /admin.html -> 200 (0ms)
[2025-09-01 16:45:06] GET /light.css -> 304 (0ms)
[2025-09-01 16:45:06] GET /theme.js -> 304 (0ms)
[2025-09-01 16:45:06] GET /admin.js -> 304 (0ms)
[2025-09-01 16:45:07] GET /dark.css -> 200 (0ms)
[2025-09-01 16:45:07] GET /logs/admin -> 403 (0ms)
[2025-09-01 16:45:07] GET /status -> 403 (0ms)
[2025-09-01 16:45:07] GET /admin/list -> 403 (0ms)
[2025-09-01 16:45:07] GET /@vite/client -> 404 (0ms)
[2025-09-01 16:45:11] GET /light.css -> 200 (0ms)
[2025-09-01 16:45:12] GET /dark.css -> 200 (0ms)
[2025-09-01 16:45:41] GET /news.html -> 404 (0ms)
[2025-09-01 16:45:41] GET /favicon.ico -> 200 (0ms)
[2025-09-01 16:45:44] GET / -> 200 (0ms)
[2025-09-01 16:45:44] GET /light.css -> 200 (0ms)
[2025-09-01 16:45:44] GET /theme.js -> 200 (0ms)
[2025-09-01 16:45:44] GET /login.js -> 200 (0ms)
[2025-09-01 16:45:45] GET /dark.css -> 200 (0ms)
[2025-09-01 16:45:46] POST /login -> 200 (0ms)
[2025-09-01 16:45:47] GET /index.html -> 200 (0ms)
[2025-09-01 16:45:47] GET /theme.js -> 304 (1ms)
[2025-09-01 16:45:47] GET /light.css -> 200 (1ms)
[2025-09-01 16:45:48] GET /dark.css -> 200 (0ms)
[2025-09-01 16:45:55] GET /dark.css -> 200 (0ms)
[2025-09-01 16:46:00] GET /admin -> 304 (0ms)
[2025-09-01 16:46:00] GET /theme.js -> 304 (0ms)
[2025-09-01 16:46:00] GET /admin.js -> 200 (0ms)
[2025-09-01 16:46:00] GET /light.css -> 304 (0ms)
[2025-09-01 16:46:00] GET /dark.css -> 200 (0ms)
[2025-09-01 16:46:00] GET /admin/list -> 200 (0ms)
[2025-09-01 16:46:00] GET /status -> 200 (10ms)
[2025-09-01 16:46:00] GET /logs/admin -> 200 (6ms)
[2025-09-01 16:46:05] GET /logs/admin -> 200 (6ms)
